Time,wx,wy,wz,qx,qy,qz,q0,x,y,z,vx,vy,vz
0.142,0.00142754,0.000958237,0.0719438,5.07418e-05,3.38951e-05,0.00169926,0.999999,6.871e+06,1088.97,0,-1.23141,7615.18,0
0.143,0.00143747,0.000965042,0.072952,5.1456e-05,3.43736e-05,0.00173523,0.999998,6.871e+06,1096.59,0,-1.24002,7615.18,0
0.144,0.0014474,0.00097185,0.0739673,5.21751e-05,3.48555e-05,0.00177171,0.999998,6.871e+06,1104.2,0,-1.24863,7615.18,0
0.145,0.00145732,0.000978661,0.0749895,5.28993e-05,3.53408e-05,0.00180869,0.999998,6.871e+06,1111.82,0,-1.25724,7615.18,0
0.146,0.00146725,0.000985475,0.0760188,5.36284e-05,3.58295e-05,0.00184619,0.999998,6.871e+06,1119.43,0,-1.26586,7615.18,0
0.147,0.00147718,0.000992292,0.0770551,5.43624e-05,3.63215e-05,0.00188419,0.999998,6.871e+06,1127.05,0,-1.27447,7615.18,0
0.148,0.0014871,0.000999112,0.0780984,5.51015e-05,3.6817e-05,0.00192272,0.999998,6.871e+06,1134.66,0,-1.28308,7615.18,0
0.149,0.00149702,0.00100594,0.0791487,5.58455e-05,3.73158e-05,0.00196177,0.999998,6.871e+06,1142.28,0,-1.29169,7615.18,0
0.15,0.00150694,0.00101276,0.080206,5.65945e-05,3.7818e-05,0.00200135,0.999998,6.871e+06,1149.89,0,-1.3003,7615.18,0
0.151,0.00151686,0.00101959,0.0812704,5.73485e-05,3.83236e-05,0.00204145,0.999998,6.871e+06,1157.51,0,-1.30891,7615.18,0
0.152,0.00152677,0.00102642,0.0823417,5.81074e-05,3.88326e-05,0.00208208,0.999998,6.871e+06,1165.12,0,-1.31752,7615.18,0
0.153,0.00153669,0.00103326,0.0834201,5.88713e-05,3.93451e-05,0.00212325,0.999998,6.871e+06,1172.74,0,-1.32613,7615.18,0
0.154,0.0015466,0.0010401,0.0845055,5.96402e-05,3.98609e-05,0.00216496,0.999998,6.871e+06,1180.35,0,-1.33475,7615.18,0
0.155,0.00155651,0.00104694,0.0855979,6.04141e-05,4.03801e-05,0.00220722,0.999998,6.871e+06,1187.97,0,-1.34336,7615.18,0
0.156,0.00156642,0.00105379,0.0866973,6.11929e-05,4.09027e-05,0.00225002,0.999997,6.871e+06,1195.58,0,-1.35197,7615.18,0
0.157,0.00157633,0.00106064,0.0878038,6.19767e-05,4.14287e-05,0.00229336,0.999997,6.871e+06,1203.2,0,-1.36058,7615.18,0
0.158,0.00158623,0.00106749,0.0889172,6.27655e-05,4.19581e-05,0.00233727,0.999997,6.871e+06,1210.81,0,-1.36919,7615.18,0
0.159,0.00159614,0.00107435,0.0900377,6.35592e-05,4.24909e-05,0.00238172,0.999997,6.871e+06,1218.43,0,-1.3778,7615.18,0
0.16,0.00160604,0.00108121,0.0911652,6.43579e-05,4.30271e-05,0.00242674,0.999997,6.871e+06,1226.04,0,-1.38641,7615.18,0
0.161,0.00161594,0.00108807,0.0922997,6.51616e-05,4.35667e-05,0.00247233,0.999997,6.871e+06,1233.66,0,-1.39502,7615.18,0
0.162,0.00162584,0.00109494,0.0934412,6.59702e-05,4.41097e-05,0.00251848,0.999997,6.871e+06,1241.27,0,-1.40364,7615.18,0
0.163,0.00163574,0.00110181,0.0945897,6.67838e-05,4.46562e-05,0.0025652,0.999997,6.871e+06,1248.89,0,-1.41225,7615.18,0
0.164,0.00164563,0.00110868,0.0957453,6.76024e-05,4.5206e-05,0.00261249,0.999997,6.871e+06,1256.5,0,-1.42086,7615.18,0
